images,masks
/disk_data/data/carvical/Cx22/patches/training/images/a286.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a286_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a95.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a95_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a109.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a109_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a329.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a329_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a221.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a221_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a141.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a141_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a112.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a112_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a66.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a66_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a379.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a379_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a224.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a224_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a86.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a86_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a361.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a361_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a323.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a323_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a9.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a9_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a208.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a208_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a114.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a114_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a188.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a188_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a395.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a395_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a155.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a155_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a358.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a358_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a129.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a129_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a34.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a34_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a181.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a181_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a353.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a353_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a386.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a386_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a246.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a246_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a39.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a39_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a283.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a283_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a167.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a167_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a282.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a282_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a339.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a339_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a399.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a399_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a131.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a131_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a253.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a253_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a241.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a241_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a303.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a303_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a139.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a139_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a277.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a277_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a230.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a230_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a251.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a251_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a21.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a21_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a200.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a200_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a0.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a0_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a197.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a197_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a354.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a354_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a75.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a75_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a211.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a211_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a18.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a18_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a235.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a235_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a239.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a239_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a173.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a173_cyto_clumps.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a97.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a97_cyto_clumps.jpg
