images,masks
/disk_data/data/carvical/Cx22/patches/training/images/a130.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a130_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a286.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a286_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a44.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a44_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a140.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a140_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a312.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a312_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a52.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a52_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a149.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a149_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a341.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a341_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a185.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a185_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a396.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a396_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a8.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a8_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a231.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a231_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a114.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a114_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a132.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a132_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a301.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a301_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a357.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a357_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a68.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a68_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a262.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a262_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a175.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a175_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a213.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a213_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a63.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a63_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a41.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a41_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a158.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a158_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a365.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a365_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a206.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a206_nuc_ins.jpg
/disk_data/data/carvical/Cx22/patches/training/images/a333.jpg,/disk_data/data/carvical/Cx22/patches/training/masks/a333_nuc_ins.jpg
